event_id,customer_id,event_date,event_type,feature_used,session_duration_sec,pages_viewed
224,29,2023-03-04,page_view,settings,3171,5
225,29,2023-03-16,support_ticket,,2590,13
226,29,2022-07-19,page_view,team_mgmt,602,4
227,30,2023-03-14,support_ticket,settings,3227,27
228,30,2023-07-29,page_view,billing,1343,2
229,30,2022-12-17,api_call,settings,3031,6
230,30,2022-11-09,export,,2722,26
231,30,2022-12-09,support_ticket,settings,2612,17
232,31,2024-06-19,export,billing,13,29
233,32,2024-07-26,export,api,1720,7
234,32,2024-06-04,support_ticket,api,935,4
235,32,2024-07-27,page_view,billing,1182,17
236,32,2024-06-29,page_view,reports,3461,22
237,32,2024-05-28,feature_use,dashboard,638,1
238,32,2024-06-24,login,integrations,2526,26
239,32,2024-07-24,feature_use,dashboard,967,4
240,33,2024-04-19,support_ticket,settings,2126,29
241,33,2023-06-22,feature_use,,3058,16
242,33,2024-07-22,login,team_mgmt,804,20
243,33,2023-03-06,login,settings,2512,14
244,33,2023-08-25,login,analytics,1714,13
245,33,2024-04-05,export,analytics,720,19
246,33,2024-01-24,login,api,3249,23
247,33,2024-03-21,api_call,settings,3463,20
248,33,2023-03-14,api_call,dashboard,1057,26
249,33,2024-05-20,login,analytics,1224,27
250,33,2023-12-03,export,settings,3406,11
251,33,2024-05-30,export,settings,3006,10
252,33,2024-02-22,support_ticket,team_mgmt,1896,23
253,33,2023-05-02,feature_use,team_mgmt,460,12
254,33,2023-07-23,support_ticket,api,1912,17
255,33,2023-08-06,api_call,api,2139,30
256,33,2024-04-21,export,integrations,603,30
257,33,2023-06-28,export,team_mgmt,3148,13
258,33,2024-03-13,support_ticket,settings,3102,24
259,34,2023-07-09,export,settings,1759,23
260,34,2023-07-09,support_ticket,settings,2657,2
261,34,2023-03-12,api_call,dashboard,2954,1
262,34,2023-02-06,api_call,reports,3485,10
263,34,2023-04-27,page_view,analytics,1341,25
264,35,2024-08-29,upgrade_inquiry,api,885,5
265,35,2024-06-12,support_ticket,billing,2967,8
266,35,2024-06-04,support_ticket,analytics,1713,17
267,35,2024-11-03,feature_use,api,3176,25
268,35,2024-08-22,upgrade_inquiry,analytics,3347,12
269,36,2023-04-10,api_call,dashboard,3229,8
270,36,2024-07-30,upgrade_inquiry,dashboard,468,7
271,36,2023-07-05,export,team_mgmt,2621,13
272,36,2023-01-22,export,reports,1501,22
273,36,2024-02-19,page_view,dashboard,411,30
274,36,2023-09-23,login,reports,328,12
275,36,2024-05-03,login,analytics,3436,5
276,36,2023-06-13,login,billing,1001,20
277,36,2023-08-15,feature_use,,305,4
278,36,2023-11-10,upgrade_inquiry,team_mgmt,3590,24
279,36,2023-12-28,support_ticket,dashboard,2367,25
280,36,2023-01-13,page_view,integrations,2463,15
281,36,2023-11-17,login,billing,1803,27
282,36,2024-07-21,export,api,499,28
283,37,2023-12-20,upgrade_inquiry,reports,259,1
284,37,2024-01-09,upgrade_inquiry,settings,1212,8
285,37,2023-02-21,login,api,1886,16
286,37,2023-06-09,feature_use,dashboard,2779,13
287,37,2023-08-04,page_view,settings,603,15
288,37,2024-01-09,page_view,integrations,2272,1
289,37,2024-04-16,api_call,,714,13
290,37,2024-05-01,feature_use,api,3573,13
291,37,2024-04-03,page_view,analytics,3022,8
292,37,2024-02-04,api_call,reports,364,10
293,37,2023-06-20,login,dashboard,1884,11
294,37,2023-06-11,export,,3546,28
295,37,2024-05-09,export,team_mgmt,326,9
296,37,2023-04-10,support_ticket,api,1773,24
297,37,2023-07-13,feature_use,integrations,130,26
298,37,2023-08-25,api_call,settings,2997,13
299,37,2023-04-12,support_ticket,integrations,2078,24
300,37,2023-05-28,export,,3577,24
301,37,2023-03-18,page_view,team_mgmt,1235,23
302,37,2024-02-19,feature_use,,2979,20
303,37,2024-04-15,support_ticket,settings,3577,2
304,37,2023-08-15,upgrade_inquiry,settings,2694,16
305,37,2023-06-26,feature_use,,3242,19
306,37,2023-07-13,page_view,billing,552,26
307,37,2023-11-01,upgrade_inquiry,team_mgmt,3286,27
308,37,2023-05-07,api_call,settings,1371,27
309,37,2023-12-21,page_view,,2420,18
310,37,2023-05-16,feature_use,settings,1397,12
311,38,2023-05-24,login,dashboard,466,10
312,38,2024-02-11,upgrade_inquiry,analytics,490,4
313,38,2024-04-15,export,team_mgmt,1829,17
314,39,2024-11-14,api_call,dashboard,2959,12
315,39,2024-09-11,api_call,,1562,13
316,39,2024-04-04,api_call,analytics,2440,6
317,39,2024-05-19,feature_use,billing,3286,8
318,39,2024-02-03,login,api,2685,12
319,39,2024-07-27,feature_use,billing,3530,22
320,39,2024-05-02,export,billing,1644,23
321,39,2024-05-14,page_view,team_mgmt,2741,24
322,39,2024-05-20,login,api,3352,12
323,39,2024-04-19,support_ticket,billing,2179,24
324,39,2024-10-06,export,dashboard,508,8
325,39,2024-03-18,api_call,reports,261,15
326,39,2024-07-27,login,team_mgmt,978,22
327,39,2024-05-14,support_ticket,,808,14
328,39,2024-04-11,support_ticket,api,514,11
329,39,2024-03-14,support_ticket,analytics,2377,10
330,40,2024-04-01,login,team_mgmt,285,8
331,40,2023-10-28,api_call,integrations,1432,29
332,40,2024-05-09,api_call,reports,236,30
333,40,2023-11-24,export,settings,2210,29
334,40,2023-05-28,support_ticket,analytics,656,24
335,40,2024-04-09,feature_use,analytics,3224,9
336,41,2023-03-13,export,api,5,21
337,41,2023-07-23,upgrade_inquiry,api,2255,14
338,42,2024-07-24,page_view,billing,426,11
339,42,2024-05-21,page_view,team_mgmt,3241,5
340,42,2024-04-07,api_call,team_mgmt,3532,24
341,42,2024-06-24,login,analytics,1543,20
342,42,2024-04-21,api_call,api,3006,18
343,43,2023-05-27,support_ticket,reports,1726,10
344,43,2024-03-26,feature_use,integrations,411,25
345,43,2022-11-12,login,billing,1567,25
346,43,2024-06-01,api_call,,1306,10
347,43,2022-09-17,feature_use,analytics,3070,27
348,43,2022-12-25,login,,174,13
349,43,2024-07-28,api_call,dashboard,2936,8
350,43,2023-10-11,feature_use,api,950,22
351,43,2023-09-01,api_call,reports,2257,11
352,43,2023-02-10,feature_use,reports,1756,27
353,43,2023-08-16,page_view,reports,821,23
354,43,2022-10-21,export,team_mgmt,3014,26
355,43,2023-04-22,export,,1798,3
356,43,2024-06-12,api_call,settings,2098,10
357,43,2024-07-16,support_ticket,settings,1266,30
358,44,2024-06-19,support_ticket,billing,3342,22
359,44,2024-07-19,page_view,team_mgmt,1925,30
360,44,2024-03-20,login,settings,1725,27
361,44,2024-07-15,export,billing,3559,4
362,44,2024-05-13,feature_use,reports,1649,8
363,45,2023-10-26,export,integrations,2895,14
364,45,2022-11-21,login,billing,1875,24
365,46,2023-09-30,page_view,dashboard,770,27
366,46,2024-02-21,login,team_mgmt,2950,13
367,46,2024-04-07,page_view,dashboard,1588,19
368,46,2024-07-26,api_call,billing,83,17
369,46,2024-03-04,api_call,api,1752,3
370,46,2023-09-26,page_view,,2529,14
371,46,2024-03-10,support_ticket,integrations,561,13
372,46,2024-01-10,page_view,settings,3550,4
373,46,2024-07-30,api_call,settings,267,6
374,46,2024-01-19,login,settings,805,19
375,46,2024-04-12,upgrade_inquiry,settings,2113,28
376,46,2023-12-18,support_ticket,analytics,210,1
377,46,2023-09-04,login,,2708,22
378,46,2023-11-20,login,,2004,4
379,46,2024-03-18,api_call,integrations,2180,29
380,46,2024-06-10,login,integrations,2916,22
381,46,2024-06-25,api_call,api,1957,3
382,46,2024-06-17,login,,2431,19
383,46,2023-12-23,upgrade_inquiry,reports,2505,18
384,46,2024-05-03,upgrade_inquiry,api,399,14
385,47,2023-05-13,page_view,billing,1875,14
386,47,2023-04-10,login,,136,17
387,47,2023-11-12,api_call,team_mgmt,2805,27
388,48,2023-09-13,support_ticket,reports,1372,5
389,48,2024-03-29,upgrade_inquiry,integrations,693,17
390,48,2023-08-31,export,analytics,3577,14
391,49,2023-02-21,login,integrations,346,28
392,49,2024-04-20,export,team_mgmt,1191,19
393,49,2023-04-08,login,integrations,1340,5
394,49,2024-07-30,export,team_mgmt,2775,14
395,49,2023-02-02,export,billing,1408,20
396,49,2023-04-09,page_view,analytics,2705,12
397,49,2022-10-03,login,,527,11
398,49,2023-10-21,export,analytics,2569,25
399,49,2023-07-11,login,analytics,883,20
400,49,2022-11-20,page_view,api,1925,4
401,49,2023-07-03,support_ticket,,2844,7
402,49,2023-09-27,feature_use,,385,28
403,49,2023-02-15,support_ticket,reports,964,26
404,49,2023-07-07,login,integrations,831,10
405,49,2023-09-15,login,team_mgmt,1279,19
406,49,2023-09-29,export,,1811,11
407,49,2023-10-30,support_ticket,settings,1757,23
408,49,2023-06-18,support_ticket,settings,2212,5
409,49,2022-11-25,upgrade_inquiry,team_mgmt,896,20
410,49,2024-02-22,api_call,api,438,25
411,50,2024-05-11,page_view,team_mgmt,1149,27
412,50,2022-12-12,export,billing,242,7
413,50,2023-01-07,support_ticket,reports,856,10
414,50,2023-11-25,support_ticket,dashboard,2239,23
415,50,2024-01-01,support_ticket,analytics,2543,19
416,50,2024-01-15,api_call,integrations,2239,16
417,50,2023-08-01,support_ticket,team_mgmt,2020,3
418,50,2023-06-23,support_ticket,reports,682,11
419,50,2023-07-04,api_call,,3428,23
420,50,2023-07-14,support_ticket,reports,109,14
421,50,2023-11-14,export,team_mgmt,3392,29
422,50,2023-03-20,upgrade_inquiry,team_mgmt,1731,27
423,50,2023-11-28,support_ticket,analytics,3136,6
424,50,2022-12-15,page_view,team_mgmt,2592,2
425,50,2023-07-01,upgrade_inquiry,integrations,881,13
426,51,2023-12-18,export,reports,142,28
427,51,2023-10-18,feature_use,team_mgmt,504,24
428,51,2023-05-28,upgrade_inquiry,api,2891,2
429,51,2023-02-15,feature_use,settings,149,20
430,51,2023-10-12,support_ticket,,755,16
431,51,2023-05-30,page_view,integrations,2820,24
432,51,2023-06-21,export,dashboard,869,3
433,51,2023-02-14,page_view,analytics,1621,10
434,51,2024-04-24,api_call,billing,400,27
435,51,2024-06-30,support_ticket,team_mgmt,2088,26
436,52,2024-05-08,upgrade_inquiry,settings,1437,28
437,52,2024-04-13,api_call,team_mgmt,2541,24
438,52,2024-10-24,support_ticket,team_mgmt,2874,19
439,52,2024-04-01,login,reports,1202,28
440,52,2024-06-02,login,team_mgmt,2469,27
441,53,2023-03-20,page_view,api,3281,8
442,53,2024-01-21,login,dashboard,2212,28
443,53,2023-08-21,feature_use,team_mgmt,2751,17
444,53,2024-03-06,page_view,,3513,14
445,53,2024-08-01,api_call,,1240,5
446,53,2023-02-11,login,integrations,772,13
447,53,2023-12-28,login,integrations,208,29
448,53,2023-12-14,feature_use,settings,389,4
449,53,2023-10-30,export,api,166,24
450,54,2024-06-21,feature_use,integrations,1386,6
451,54,2024-06-25,upgrade_inquiry,settings,2463,12
452,54,2024-05-09,page_view,dashboard,1023,23
453,54,2024-05-29,export,analytics,3539,23
454,55,2024-10-03,feature_use,team_mgmt,225,10
455,55,2024-05-28,feature_use,,1742,18
456,55,2024-08-01,page_view,reports,592,23
457,55,2024-10-03,page_view,analytics,2015,13
458,55,2024-03-04,login,integrations,1378,10
459,55,2024-11-05,support_ticket,analytics,3079,3
460,55,2024-05-09,api_call,integrations,3489,4
461,55,2024-06-11,api_call,integrations,2729,30
462,55,2024-09-05,api_call,integrations,2806,29
463,55,2024-05-21,upgrade_inquiry,billing,1008,30
464,55,2024-01-20,feature_use,dashboard,135,17
465,55,2024-06-04,upgrade_inquiry,dashboard,1282,2
466,55,2024-01-02,export,api,1150,4
467,56,2023-07-31,feature_use,integrations,3274,16
468,56,2023-07-28,feature_use,reports,842,10
469,56,2023-04-17,support_ticket,reports,1202,29
470,56,2024-02-09,login,,2349,29
471,56,2024-03-23,export,analytics,670,28
472,56,2023-01-31,export,team_mgmt,3214,29
473,56,2024-03-10,upgrade_inquiry,settings,2985,5
474,56,2024-08-01,feature_use,reports,148,27
475,56,2023-03-02,page_view,api,2035,29
476,56,2023-08-16,upgrade_inquiry,api,336,23
477,56,2023-10-30,login,team_mgmt,3145,11
478,57,2023-12-22,feature_use,api,1126,22
479,57,2023-12-17,api_call,settings,2408,13
480,57,2024-06-28,login,analytics,2868,21
481,57,2024-05-12,support_ticket,reports,2504,13
482,57,2024-03-11,feature_use,team_mgmt,381,9
483,57,2024-02-29,page_view,dashboard,1742,11
484,57,2024-07-26,api_call,,2828,14
485,57,2024-06-18,upgrade_inquiry,analytics,672,27
486,57,2024-06-16,export,integrations,1814,17
487,57,2024-03-06,api_call,team_mgmt,1899,4
488,58,2024-09-16,upgrade_inquiry,integrations,3504,23
489,58,2024-10-06,export,reports,2022,13
490,58,2024-10-23,api_call,team_mgmt,9,22
491,58,2024-08-25,api_call,dashboard,10,5
492,59,2023-07-14,support_ticket,billing,754,15
493,59,2024-03-04,export,settings,807,1
494,59,2022-10-14,feature_use,,2040,17
495,59,2024-07-17,export,dashboard,1725,26
496,59,2023-07-24,page_view,billing,3418,19
497,59,2023-08-14,api_call,reports,2702,25
498,59,2024-04-09,page_view,,2649,24
499,59,2023-08-11,upgrade_inquiry,,1997,23
500,59,2023-07-09,upgrade_inquiry,integrations,2867,6
501,59,2022-10-11,feature_use,api,688,13
502,59,2024-04-22,export,analytics,2057,16
503,59,2022-10-30,api_call,integrations,1931,12
504,59,2023-10-20,api_call,team_mgmt,2181,12
505,59,2023-07-24,support_ticket,team_mgmt,2893,23
506,59,2023-11-03,support_ticket,integrations,22,19
507,59,2023-02-27,support_ticket,analytics,1184,7
508,59,2022-10-22,upgrade_inquiry,reports,916,5
509,59,2023-03-06,feature_use,billing,1891,12
510,60,2022-10-18,page_view,analytics,1258,25
511,60,2022-11-07,api_call,billing,2998,25
512,60,2022-09-07,upgrade_inquiry,settings,3438,29
513,60,2022-11-26,support_ticket,team_mgmt,956,4
514,60,2022-11-19,export,api,2706,14
515,60,2022-12-24,feature_use,api,3314,22
516,60,2022-11-10,page_view,team_mgmt,1760,1
517,61,2024-03-11,login,team_mgmt,292,2
518,61,2022-12-03,feature_use,settings,1299,17
519,61,2024-04-06,api_call,analytics,1122,4
520,61,2024-07-19,page_view,integrations,2453,20
521,61,2023-11-16,upgrade_inquiry,team_mgmt,2475,8
522,61,2024-07-30,feature_use,integrations,1011,17
523,61,2023-05-02,api_call,integrations,2163,15
524,61,2023-12-27,upgrade_inquiry,,866,18
525,61,2023-11-26,upgrade_inquiry,,617,12
526,61,2024-03-22,login,team_mgmt,866,18
527,61,2024-01-01,upgrade_inquiry,reports,1556,12
528,62,2024-01-08,page_view,integrations,1970,18
529,62,2024-05-03,feature_use,billing,550,4
530,62,2024-05-26,upgrade_inquiry,,107,13
531,62,2024-05-10,support_ticket,analytics,129,22
532,62,2024-02-18,feature_use,settings,727,20
533,62,2024-07-31,export,billing,240,18
534,62,2024-04-09,page_view,api,2952,5
535,62,2024-04-12,api_call,analytics,763,18
536,62,2024-01-21,login,team_mgmt,1660,15
537,62,2024-04-24,api_call,team_mgmt,3308,25
538,62,2024-05-15,export,analytics,1820,22
539,62,2024-06-29,feature_use,team_mgmt,313,18
540,63,2023-12-11,upgrade_inquiry,team_mgmt,1089,30
541,63,2023-10-16,upgrade_inquiry,integrations,894,2
542,63,2023-09-28,feature_use,team_mgmt,1154,2
543,63,2023-12-16,page_view,api,1054,5
544,63,2023-10-05,login,dashboard,2909,8
545,63,2023-08-28,feature_use,settings,2282,23
546,63,2023-10-26,page_view,integrations,1600,12
547,63,2023-07-25,upgrade_inquiry,,1126,25
548,63,2023-11-30,login,,3379,14
549,63,2024-01-07,page_view,reports,871,5
550,63,2023-11-23,support_ticket,dashboard,1644,8
551,63,2024-02-24,support_ticket,team_mgmt,752,9
552,64,2023-11-17,support_ticket,team_mgmt,3140,5
553,64,2023-06-13,api_call,,1327,2
554,64,2022-05-14,page_view,api,2269,30
555,64,2024-03-26,api_call,settings,3459,8
556,64,2023-10-05,api_call,billing,2154,25
557,64,2024-07-22,login,dashboard,2376,20
558,64,2023-12-26,upgrade_inquiry,analytics,1781,29
559,64,2024-04-05,api_call,api,3216,23
560,64,2023-02-01,api_call,billing,2831,1
561,64,2023-04-02,login,settings,2529,1
562,64,2023-03-16,upgrade_inquiry,team_mgmt,3067,8
563,64,2023-04-21,api_call,team_mgmt,1539,9
564,64,2022-12-20,export,settings,3260,11
565,64,2022-12-29,page_view,settings,2538,19
566,64,2023-06-08,login,dashboard,2001,16
567,64,2024-05-10,upgrade_inquiry,team_mgmt,1874,5
568,64,2022-10-03,feature_use,api,2862,14
569,64,2023-03-13,export,analytics,2996,22
570,64,2022-07-28,export,billing,996,8
571,64,2022-06-06,login,api,2039,1
572,64,2022-09-19,page_view,billing,3044,2
573,64,2023-09-02,export,analytics,3302,28
574,64,2024-01-19,page_view,analytics,2846,19
575,64,2023-01-07,export,,2838,2
576,64,2023-03-25,login,settings,1472,8
577,64,2023-11-21,page_view,dashboard,484,30
578,64,2023-07-22,upgrade_inquiry,reports,639,25
579,65,2022-07-21,login,analytics,2511,28
580,66,2022-06-12,support_ticket,integrations,3554,19
